iter	Passed	Remaining
652	327106	173822
653	327590	173312
654	328210	172874
655	328726	172381
656	329221	171876
657	329682	171354
658	330131	170826
659	330566	170291
660	331011	169762
661	331559	169285
662	332056	168782
663	332522	168264
664	332957	167730
665	333478	167239
666	333980	166740
667	334523	166260
668	335001	165748
669	335440	165217
670	335977	164734
671	336442	164215
672	336945	163716
673	337467	163225
674	337929	162706
675	338389	162186
676	338855	161669
677	339365	161173
678	339826	160654
679	340337	160158
680	340867	159672
681	341294	159137
682	341747	158614
683	342265	158122
684	342735	157608
685	343293	157134
686	343781	156628
687	344311	156141
688	344820	155644
689	345303	155136
690	345821	154643
691	346325	154145
692	346780	153624
693	347344	153152
694	347807	152635
695	348372	152162
696	348878	151664
697	349459	151198
698	349967	150701
699	350476	150204
700	350979	149704
701	351452	149191
702	351923	148679
703	352437	148184
704	352893	147664
705	353411	147171
706	353900	146665
707	354399	146164
708	354944	145682
709	355438	145178
710	355947	144681
711	356428	144173
712	356875	143651
713	357349	143140
714	357890	142655
715	358459	142182
716	358977	141688
717	359484	141190
718	359985	140689
719	360562	140218
720	361065	139718
721	361590	139227
722	362055	138712
723	362566	138216
724	362983	137683
725	363434	137163
726	363871	136639
727	364317	136118
728	364862	135634
729	365356	135131
730	365812	134614
731	366298	134109
732	366805	133611
733	367267	133096
734	367745	132588
735	368271	132097
736	368796	131605
737	369306	131108
738	369796	130604
739	370229	130080
740	370723	129578
741	371192	129066
742	371695	128567
743	372141	128048
744	372637	127547
745	373113	127038
746	373557	126519
747	374035	126011
748	374551	125517
749	375094	125031
750	375557	124519
751	376021	124007
752	376498	123499
753	376961	122987
754	377375	122459
755	377912	121971
756	378375	121460
757	378915	120973
758	379399	120468
759	379853	119953
760	380326	119445
761	380811	118941
762	381295	118436
763	381754	117924
764	382296	117437
765	382766	116928
766	383284	116434
767	383809	115942
768	384283	115434
769	384816	114945
770	385415	114475
771	385894	113968
772	386357	113458
773	386862	112959
774	387411	112474
775	387958	111988
776	388500	111500
777	388945	110984
778	389445	110484
779	389917	109976
780	390437	109482
781	390898	108971
782	391439	108483
783	391935	107982
784	392456	107488
785	392949	106986
786	393484	106495
787	393951	105987
788	394458	105488
789	394959	104989
790	395510	104502
791	396020	104005
792	396502	103500
793	396987	102996
794	397431	102482
795	397900	101974
796	398393	101472
797	398881	100970
798	399398	100474
799	399874	99968
800	400363	99466
801	400855	98964
802	401401	98475
803	401951	97988
804	402476	97494
805	402959	96990
806	403436	96484
807	403962	95990
808	404389	95473
809	404943	94986
810	405424	94482
811	405879	93972
812	406338	93462
813	406855	92966
814	407359	92468
815	407809	91956
816	408288	91452
817	408717	90937
818	409234	90441
819	409766	89948
820	410277	89451
821	410749	88945
822	411234	88442
823	411716	87939
824	412185	87433
825	412706	86938
826	413200	86437
827	413761	85950
828	414323	85463
829	414777	84954
830	415250	84449
831	415778	83955
832	416275	83455
833	416814	82963
834	417355	82471
835	417862	81972
836	418383	81477
837	418910	80982
838	419430	80486
839	419955	79991
840	420456	79491
841	420980	78996
842	421514	78502
843	422075	78013
844	422645	77526
845	423153	77027
846	423620	76521
847	424131	76023
848	424649	75526
849	425122	75021
850	425672	74530
851	426149	74026
852	426674	73530
853	427192	73032
854	427674	72529
855	428194	72032
856	428645	71524
857	429150	71024
